tweet
जातिगत जनगणना के आँकड़े केंद्र जल्द से जल्द सार्वजनिक करे। देश के पिछड़े व दलित इसमें जानबूझ कर की जा रही देरी को भली भाँ…
अरे यह क्या जंगलराज नहीं लिखा और ना ही कहा अच्छा जरूर यह बीजेपी शासित राज्य की घटना होगी।
glad this experiment helping greatly to solve public grievances regarding road conditions
let s work 4 value force in our argument let them use argument of force history shall take a wholesome view unlike tv a…
rss claims that it is हिंदूवादी संगठन then why it opposes reservation for 80 of hindus actually it is ब्राह्मणवादी संगठ…
tall promises of smart cities digital india make in india r replaced by 21st century s more imp issues of temple mosque cow b…
ने फिर महागठबंधन की बात उठाई कहा माया और मुलायम भी आएं साथ
यूपी में मायावती और मुलायम एक हो जाएं। बिहार में हमलोग एक हैं bjp का सारा तमाशा खत्म हो जाएगा। अब ये विकास की बात नही करते।
योगी ने cm आवास का शुद्धिकरण इसलिए कराया क्योंकि विगत एक दशक से ज्यादा वहां दलित पिछड़ा एवं बहुजन वर्गों के मुख्यमंत्री रहते थे।
धन्यवाद आदरणीय 1912 तक बंगाल ओडिशा बिहार झारखंड एक था अब हमे राजनीतिक रूप से मिलकर आज के दक्षिणपंथी अं…
मोदीजी कागजी शेर मत बनिए।पहले अपने मंत्रिमंडल से जाति विशेष के 4 कायरों को बाहर फेंकिये तभी तो bjpका शुद्धिकरण हो देश जा…
मोदीजी बेचारे कर्मचारियों ने आपका क्या बिगाड़ा है कलेजे में दम है तो पहले bjp में जाति विशेष के जितने mlas mps है उन्हें…
शायद ये हिंदू नही है इसलिए यह कारनामा कर रहे है। यह तो बता देते इनकी जगह कौन से वर्ण …
आप सभी को बिहार दिवस की हार्दिक शुभकामनायें।
interesting headline by 4 up bjp has a new spelling 4 vikas yogi adityanath a socio political disaster…
एक दिन में एक ही जाति के दो मुख्यमंत्री बनाकर अब हम जातिवाद खत्म करने की लड़ाई लड़ेंगे। ख़बरदार मेरिट का रोना रोया तो
sushil kumar modi tries to mock lalu yadav again gets burned instead
तुम भी कान छिदवा लो सिर छिलवा लो वेष बदल लो।शायद तुम्हारा कुछ भला हो जाये। ज्यादा दुःखी मत होना ई लोग तुम्हें शपथ…
nation is celebrating 83rd birth anniversary of manyawar kanshi ram today
पटना इस साल की सादगी वाली होली और भी रहे मौजूद
it is not just the political fervour in the air it is and here is rjd chief sending holi wishes in hi…
let s be committed to protect preserve colorful cultures and united colours of india spread more love humanity jai hind
आप सबों को सामाजिक एकता समानता प्रेम उल्लास उमंग एवं भाईचारे के प्रतीक होली के पावन पर्व की हार्दिक शुभकामनायें।
concern raised by mayawati should be looked into on evm controversy
we welcome the public mandate allegations of ji should be probed ani https …
लालू बोले यूपी में सपा की हार अप्रत्याशित ईवीएम मशीनों की हो जांच …
s brilliant reply to bjp s on poll result jibe
lalu prasad yadav gave the best reply to sushil modi’s quip on up polls …
up election results tries to mock gets epic reply
सर आपके ट्वीट्स पढ़के मैंने बहुत कुछ सीखा है
got to give credit for atleast having a sense of humour if nothing else 😜 …
happy holi to everyone may this festival of colours love spread more love and brings best of colours in everyone s life
ठीक बा। देखा ना बीजेपी ने तुम्हें यूपी में नहीं घुसने दिया तो फायदा हुआ।
एग्जिट पोल की गहमा गहमी के बीच भी मिट्टी की सुगंध लेने पहुंच गए
खेत खलिहान में जाकर अच्छी फसल देखकर सुकून मिलता है। अपने हाथों से उपजाया हुआ आलू
progressive youth of this country must be more responsible responsive like never before otherwise rightist gang d…
बिहार पैकेज नीतीश मौन लालू ने कहा मोदी की बातों पर यकीन करना खुदकुशी करने के समान …
की बातों पर यकीन करना खुदकुशी के बराबर
अन्तर्राष्ट्रीय महिला दिवस की हार्दिक बधाई और शुभकामनाये l
becoz of few leni riefenstahls in media we r being deceived by d people we r governed d signals tell us all is rotten in…
प्रधानमंत्री बतावें वो अपनी वादाखिलाफी और झूठ का प्रायश्चित कैसे करेंगे चुल्लू भर पानी में गंगा मैया में या फिर समुद्र में
ये प्रधानमंत्री असत्यमेव जयते का जाप करता है। इस पद पर बैठे आदमी को इतना झूठ नही बोलना चाहिए।इनकी बातो पर यकीन करना खुदकुशी करने समान है
the liar a fakeage sardar ये package नहीं fakeage की घोषणा करता है। package package fakeage
मोदी बनारस में धूल चाट रहे हैं। बोला था क्योटो बनाएंगे क्योटो। लालटेन लेकर हम खोज रहे हैं कहां है क्योटो झूठ की कोई तो हद होती होगी
3 दिन बनारस में डेरा डालने के बाद भी गंगा माई से मिलने नहीं पहुंचा तथाकथित बेटा इनकी वादाखिलाफी मापने का कोई पैमाना होता तो वह भी टूट जाता
drawing massive crowds in he has done almost 60 rallies in east central up but media did not…
former union minister and rjd mr lalu prasad yadav addressing rally in
pineapple को हिंदी में क्या कहते है मित्रों भला इसका मतलब नरयल नरयल होता है क्या होता है क्या या आप भी गज़ब हो मितरों मतरो
मोदी जी पहले वाराणसी तो बचा लें ये संप्रदायीकरण करना चाह रहे थे https…
अमित शाह और मोदी फूहड़ बातें कर रहे है जिन्होंने उन्हें विगत लोकसभा चुनाव में वोट दिया उन लोगों में अब निराशा है
पहले नोटबन्दी की लठैती फिर कैशलेस की बकैती अब डिजीटल ड़कैती atm all time munafa फ़ॉर मोदी पूँजीपति गैंग
बीजेपी के नेता आसाराम के चेले चपाटी हैं यूपी में इनकी कहीं लहर नहीं लालू प्रसाद यादव …
sid first time in india s history a prime minister is cing in his constituency for 3 days just for a state election must b…
मैं चुनाव का डॉक्टर हूँ बीजेपी कम्पाउंडर और अमित शाह ड्रेसर है।ये सब आशाराम के चेले चपाटे है। सपा गठबंधन बहुमत से जीत रहा है।गजब की लहर है
भैंयो और बैंनो भैंयो और बैंनो आपकी जेब पर डाका डाल दिया गैस का दाम फिर 86 50रु बढ़ा दिया भारत माता की जय। मितरोँ चलो ठोंको ताली।
बच्चों की तस्करी बीजेपी isis के साथ बीजेपी सेक्स रैकेट बीजेपी रेपिस्ट के साथ बीजेपी बाकी सब देशद्रोही …
